track_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,Artist
'Till I Collapse,2,2002,5,26,22923,0,1695712020.0,78,46,36.0,1,0.0,171,C#,Major,55,10,85,7,0,8,20,Eminem
'Till I Collapse,2,2002,5,26,22923,0,1695712020.0,78,46,36.0,1,0.0,171,C#,Major,55,10,85,7,0,8,20,Nate Dogg
(It Goes Like) Nanana - Edit,1,2023,6,15,2259,59,57876440.0,0,0,109.0,17,0.0,130,G,Minor,67,96,88,12,19,8,4,Peggy Gou
10 Things I Hate About You,1,2022,3,23,1301,0,185550869.0,23,1,15.0,0,0.0,154,G#,Major,54,45,79,1,0,17,5,Leah Kate
10:35,2,2022,11,1,4942,26,325592432.0,190,104,147.0,18,63.0,120,G#,Major,70,70,79,7,0,18,10,Tiï¿½ï¿½sto
10:35,2,2022,11,1,4942,26,325592432.0,190,104,147.0,18,63.0,120,G#,Major,70,70,79,7,0,18,10,Tate M
2 Be Loved (Am I Ready),1,2022,7,14,3682,6,247689123.0,41,0,158.0,2,68.0,156,G,Major,72,92,77,9,0,8,11,Lizzo
2055,1,2021,4,14,2226,0,624515457.0,29,0,44.0,0,0.0,161,F#,Minor,78,65,52,46,0,12,31,Sleepy hallow
212,2,2022,1,15,352,0,143139338.0,10,0,39.0,0,0.0,154,D,Minor,79,86,52,66,0,9,7,Mainstreet
212,2,2022,1,15,352,0,143139338.0,10,0,39.0,0,0.0,154,D,Minor,79,86,52,66,0,9,7,Chefin
25k jacket (feat. Lil Baby),2,2022,1,7,620,0,54937991.0,17,3,3.0,0,0.0,115,F,Minor,90,74,54,16,0,13,28,Gunna
25k jacket (feat. Lil Baby),2,2022,1,7,620,0,54937991.0,17,3,3.0,0,0.0,115,F,Minor,90,74,54,16,0,13,28,Lil Baby
295,1,2021,5,15,246,4,183273246.0,4,106,0.0,0,7.0,90,B,Minor,68,54,76,21,0,11,20,Sidhu Moose Wala
505,1,2007,4,20,13985,25,1217120710.0,30,80,588.0,1,1.0,140,C#,Major,52,20,85,0,0,7,5,Arctic Monkeys
69,2,2023,5,18,1134,22,57945987.0,39,14,48.0,2,3.0,93,G#,Major,79,58,62,11,0,11,23,Nicky Jam
69,2,2023,5,18,1134,22,57945987.0,39,14,48.0,2,3.0,93,G#,Major,79,58,62,11,0,11,23,Feid
A Holly Jolly Christmas - Single Version,1,1952,1,1,7930,0,395591396.0,108,120,73.0,0,0.0,140,C#,Major,67,81,36,64,0,15,3,Burl Ives
A Tale By Quincy,1,2022,1,7,733,0,41924466.0,0,2,2.0,0,0.0,94,F,Minor,46,55,50,71,0,10,11,The Weeknd
A Tu Merced,1,2020,2,29,4214,11,685071800.0,21,20,40.0,0,0.0,92,C#,Major,86,89,79,17,0,11,6,Bad Bunny
A Veces (feat. Feid),2,2022,11,3,573,0,73513683.0,2,0,7.0,0,0.0,92,C#,Major,80,81,67,4,0,8,6,Feid
A Veces (feat. Feid),2,2022,11,3,573,0,73513683.0,2,0,7.0,0,0.0,92,C#,Major,80,81,67,4,0,8,6,Paulo Londra
ALIEN SUPERSTAR,1,2022,7,29,2688,0,171788484.0,39,47,36.0,0,0.0,122,A#,Minor,55,46,64,0,0,17,10,Beyoncï¿
AM Remix,3,2021,6,24,6556,0,528544703.0,93,5,67.0,1,0.0,172,F#,Minor,74,79,66,11,0,8,16,J Balvin
AM Remix,3,2021,6,24,6556,0,528544703.0,93,5,67.0,1,0.0,172,F#,Minor,74,79,66,11,0,8,16,Nio Garcia
AM Remix,3,2021,6,24,6556,0,528544703.0,93,5,67.0,1,0.0,172,F#,Minor,74,79,66,11,0,8,16,Bad Bunny
AMARGURA,1,2023,2,24,1133,39,153372011.0,14,71,23.0,10,176.0,107,F#,Minor,92,55,70,18,0,15,7,Karol G
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),2,2023,5,19,896,0,57089066.0,34,2,33.0,0,1.0,126,C#,Major,78,20,70,1,0,16,4,Kendrick Lamar
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),2,2023,5,19,896,0,57089066.0,34,2,33.0,0,1.0,126,C#,Major,78,20,70,1,0,16,4,Beyoncï¿
AMG,3,2022,11,24,995,19,463564958.0,12,117,9.0,5,3.0,136,B,Minor,77,79,73,15,0,27,10,Natanael Cano
AMG,3,2022,11,24,995,19,463564958.0,12,117,9.0,5,3.0,136,B,Minor,77,79,73,15,0,27,10,Gabito Ballesteros
AMG,3,2022,11,24,995,19,463564958.0,12,117,9.0,5,3.0,136,B,Minor,77,79,73,15,0,27,10,Peso Pluma
ANTIFRAGILE,1,2022,10,17,761,12,301051721.0,23,95,11.0,0,3.0,105,A#,Minor,88,82,80,8,0,11,8,LE SSERAFIM
Abcdario,2,2023,5,13,262,5,89933133.0,8,60,4.0,1,109.0,129,G#,Major,70,42,43,78,0,11,3,Junior H
Abcdario,2,2023,5,13,262,5,89933133.0,8,60,4.0,1,109.0,129,G#,Major,70,42,43,78,0,11,3,Eden Muï¿½ï
About Damn Time,1,2022,7,15,2332,2,723894473.0,0,0,25.0,0,0.0,109,A#,Minor,84,72,74,10,0,34,7,Lizzo
Acapulco,1,2021,9,1,3098,0,363467642.0,111,5,182.0,1,0.0,122,A#,Major,77,51,79,5,0,16,5,Jason Derulo
Acrï¿½ï¿½s,1,2023,5,11,955,29,123124076.0,37,50,79.0,11,31.0,144,B,Major,75,35,48,84,0,10,12,Shakira
Adore You,1,2019,12,6,13454,1,1439191367.0,246,71,519.0,2,5.0,99,G#,Major,68,57,77,2,0,10,5,Harry Styles
Afraid To Feel,1,2022,5,2,5898,5,244790012.0,129,55,128.0,0,101.0,128,C#,Major,58,68,91,2,0,27,11,LF System
After Dark,1,2014,8,8,1776,14,646886885.0,1,9,3.0,0,0.0,140,G#,Major,58,4,60,7,41,8,3,Mr.Kitty
After Hours,1,2020,2,19,8084,6,698086140.0,45,115,218.0,1,221.0,109,F,Minor,66,16,57,10,1,12,3,The Weeknd
After LIKE,1,2022,8,22,767,12,265548837.0,20,129,11.0,0,12.0,125,C#,Major,68,80,92,10,0,9,12,IVE
Agosto,1,2022,5,6,897,0,246127838.0,6,20,8.0,0,0.0,115,C#,Minor,85,72,58,9,0,49,12,Bad Bunny
Aguacero,1,2022,5,6,829,0,283359161.0,4,15,10.0,0,0.0,121,F#,Minor,86,67,65,42,0,35,7,Bad Bunny
Agudo Mï¿½ï¿½gi,3,1930,1,1,323,0,90598517.0,4,0,14.0,0,0.0,130,F#,Minor,65,49,80,22,4,7,5,Styrx
Agudo Mï¿½ï¿½gi,3,1930,1,1,323,0,90598517.0,4,0,14.0,0,0.0,130,F#,Minor,65,49,80,22,4,7,5,utku INC
Agudo Mï¿½ï¿½gi,3,1930,1,1,323,0,90598517.0,4,0,14.0,0,0.0,130,F#,Minor,65,49,80,22,4,7,5,Thezth
Ai Preto,3,2022,6,3,894,4,176103902.0,28,0,54.0,0,0.0,130,F#,Major,95,83,57,54,0,10,25,L7nnon
Ai Preto,3,2022,6,3,894,4,176103902.0,28,0,54.0,0,0.0,130,F#,Major,95,83,57,54,0,10,25,DJ Biel do Furduncinho
